"ID","X","Y","pH","OM","P","K","Mg","Ca","Al","NO_3","EC","Elev"
"92",62.9086477585161,428.190605289,6.1,2.4,190,460,230,3100,1610,47.47,8.3,3.0475006
"93",82.1441653784384,427.645713974547,6.1,3.9,280,460,170,2700,1700,44.05,6.95,3.5594139
"94",102.264477281464,426.185248361637,6.2,2,190,180,130,1100,1840,26.06,3.8,3.7213821
"95",127.260666353178,426.271055290438,5.3,4.4,160,560,160,2000,1900,65.48,8.5,4.3221893
"96",146.433577310937,424.524017461975,5.3,3,320,470,160,1400,1720,43.44,6.77,4.2192001
"97",166.115515707962,422.63824235852,5.5,4,250,615,140,1800,1730,49.53,5.1,4.9788818
"98",186.09619481916,421.839382463576,5.2,3,50,490,80,700,2240,39.17,4.6,4.9693375
"99",34.8346837228967,407.600856126319,6.1,3,270,580,190,3000,1500,45.78,4.75,3.3704414
"100",55.7124399386446,407.71127262395,6.2,2.7,230,500,140,2400,1700,33.04,4.5,3.2538567
"101",74.8994557399432,406.823853879392,6.2,3.5,270,410,160,2900,1580,27.68,5.45,3.6322937
"102",95.6393546256765,405.514678430018,5.8,3.6,240,480,165,2300,1560,56.05,4.7,3.7126579
"103",116.102392663428,402.259314430284,5.8,3.5,210,460,185,2200,1680,56.31,6.1,4.2480469
"104",135.818556663339,402.233673668677,5.5,3.8,180,580,150,1600,2060,47.8,6.95,4.5574341
"105",156.079442147554,401.434626618534,5.8,3.9,130,480,120,2000,2000,34.24,4.95,5.0185623
"106",175.568662338365,400.306554757273,5.8,4,150,690,150,1700,1840,37.78,5.2,5.2896385
"107",27.8822807481644,390.366398446381,5.9,2.3,190,450,180,2100,1340,22.45,5.9,3.3192368
"108",46.9593374342398,389.01128667118,6.5,3.4,340,610,160,3300,1630,39.26,13,3.4935188
"109",65.6208186468657,388.654804648792,5.6,2.7,300,550,190,1800,1790,45.99,5.5,3.4343491
"110",85.9585508630487,388.543430830421,5.5,3.7,330,300,190,2300,1670,85.47,5.1,3.9959526
"111",102.739462355852,387.068349265593,5.2,2.2,235,190,100,1000,1840,23.08,3.05,4.0408859
"112",124.582791131327,384.482034912559,5.6,3.7,180,440,140,2000,1740,42.05,7.15,4.7140274
"113",146.484055955959,384.311968162844,5.4,3.7,190,580,130,1200,2010,45.29,6.1,4.8921509
"114",166.226746625274,383.171244809647,5.6,3.8,230,810,160,1700,1890,39.85,10.5,5.5147629
"115",38.4321337536529,366.765345774068,5.9,3.6,200,585,150,2700,1660,55.05,5.7,3.6934128
"116",57.5189336603017,366.563979072718,6.4,3.1,220,510,150,2700,1690,22.42,3.5,3.6656418
"117",76.9204834938445,366.606601807414,6.3,3.5,320,365,170,2900,1970,26.06,5.7,3.9572639
"118",97.1216227642657,365.666620123075,6.2,3.1,270,405,170,3200,1640,25.87,5.15,4.2368774
"119",114.234261117594,366.147791825289,5.5,3.6,170,300,150,1900,1670,38.74,6.2,4.7429771
"120",133.922172299074,365.370603328464,5.4,3.2,105,510,130,1100,1930,36.35,6.45,5.0599823
"121",154.225693277815,365.0227377328,5.5,3.4,175,625,110,1200,1890,30.13,5.2,5.3715973
"122",174.830722998093,364.709738170586,5.7,3.2,30,820,460,2300,1910,128.8,7.25,5.359417
"123",27.8580590955041,348.775871691986,6.1,2.2,90,330,120,1600,2320,21.7,2,3.8875389
"124",46.3324410845952,347.373300309211,6.3,3.8,350,460,180,2500,2060,25.38,5.3,4.0943527
"125",67.1652572205922,346.218543497635,5.6,2.9,290,620,200,1400,1800,41.33,5,4.0216408
"126",88.6415753754384,343.771715380969,5.9,3.2,290,360,205,2800,1720,109.52,5.95,4.6375504
"127",105.894508167561,343.337161500552,5.4,1.7,140,160,85,800,1910,10.07,3.7,4.6364861
"128",124.15761836506,342.43053698298,5.6,4.1,105,320,110,1600,1950,37.99,6.2,5.2461166
"129",144.369858203988,342.518442384321,5.2,2.7,170,660,120,900,2050,48.39,4.1,4.9673233
"130",163.800407639562,341.079228091056,5.5,3.6,115,550,130,1300,2190,34.06,5.85,5.359417
"131",39.9658946707528,329.13568090304,6.2,4.1,220,490,170,2500,1810,46.36,5,4.279808
"132",57.8144623559572,326.632027642634,6.4,4.2,160,425,120,3100,1700,38.42,5.35,4.2589798
"133",76.5500586205052,324.224646780182,6,3.5,180,400,130,2100,1910,24.77,5.8,4.6565704
"134",98.1026521354502,324.351466821524,5.7,3.5,350,460,140,1800,1710,35.24,5.2,4.7312851
"135",116.743052844209,324.76695207174,5.7,3.3,150,230,170,1700,1640,31.6,6,5.059063
"136",136.953176037043,324.188253746028,6.8,1.9,140,270,370,2400,1140,33.66,9,4.9854507
"137",155.218247840875,324.019358958115,5.5,2.8,160,850,205,1400,1890,62.01,6.8,5.5095444
"138",26.2562979661042,305.640975596944,6.2,3.4,70,290,130,1800,1910,30.14,2.5,4.3050232
"139",45.778509587633,305.434067805501,6.4,4.2,150,650,170,3100,1870,31.2,4.65,4.7132416
"140",67.8236597523341,304.825723119486,5.9,2.9,150,520,165,1600,1820,29.79,5.7,4.7902184
"141",88.2001210111932,304.000200514885,6.2,4.6,160,670,230,2800,1820,71.64,4.85,5.0191689
"142",104.380968034051,304.005841358042,5.6,1.2,140,140,170,1300,1410,12.18,2.8,4.7645798
"143",124.963583334734,305.322533427751,6.8,2.4,90,270,410,3000,1260,43.69,7.8,5.3887634
"144",145.704776588589,304.69606253721,5.5,2.7,95,540,160,1000,1820,23.69,4.95,5.3262062
"145",164.514610847812,304.646166716832,5.2,4,210,541.25,210,1500,1900,118.21,10.7,4.9809875
"146",35.9419807009035,284.526655585767,6.2,4.7,90,565,170,2900,1720,83.99,6.8,4.8722572
"147",57.871510989654,285.630718345695,6.8,3.2,130,470,110,3700,1930,22.55,5.25,4.7611961
"148",77.5850077555199,284.834824413568,6.3,3.2,130,310,130,2500,1840,26.07,4.5,5.082386
"149",96.4387961231854,284.696218638655,5.7,3,210,570,120,1600,1740,19.43,3.4,5.1873779
"150",115.666096615122,286.017563808457,5.2,4.1,90,385,145,1500,1710,45.78,3.5,5.4124985
"151",136.438677621278,286.586336657466,5.7,2.9,170,660,170,2300,1700,34.05,6.3,5.2682457
"152",156.585464613439,286.342919016989,5.6,2.3,250,490,190,1900,1630,47.92,4.3,5.047142
"153",175.858707409592,285.485653775019,5.6,1.3,220,285,290,2100,860,25.07,12.5,5.071701
"154",195.749466939954,285.152016286255,5.7,2.1,370,290,160,2400,1240,27,7.7,4.6178207
"155",26.8039787280335,263.630998429569,5.7,2.6,70,260,125,1400,1960,35.67,2.8,4.7785606
"156",43.0615699569294,266.9677860863,6.2,4.7,240,600,180,2800,1730,32.12,5.34285714285714,4.9210167
"157",64.7820342580421,265.550196158626,5.6,2.7,180,750,200,1700,1850,89.66,4,4.8152809
"158",86.1310833462074,265.32100557737,6.3,4.7,180,730,230,3700,1640,58.23,5.1,5.4698143
"159",105.564135346466,265.034872530974,5.3,1.1,100,195,55,500,1950,9.8,2.3,5.0565453
"160",124.195006310481,265.328524120579,5.5,3.3,160,425,125,1600,1820,37.14,8.15,5.2686806
"161",145.438815944458,265.951731583568,5.7,2.8,280,330,170,2200,1310,34.01,5.6,4.8582191
"162",165.246028419655,265.465623812843,5.7,2.4,390,270,210,2600,1240,32.64,7.85,4.9363823
"163",184.285857034733,264.228463864968,6,4.1,350,470,170,2800,1610,30.95,10.8,4.7978134
"164",36.5049926673069,246.619039709339,6,4,170,720,140,2200,1750,33.81,6.5,5.0606689
"165",57.0261405151698,245.700712649462,6,3.9,90,430,100,2500,1880,22.44,3.4,5.1168861
"166",77.1648372192943,245.097121931389,5.7,3.9,170,800,170,2300,1810,64.93,2.75,5.2695465
"167",94.8678357810101,245.243737666441,5.7,2.4,240,530,180,1800,1740,27.16,5.15,5.1797752
"168",115.983668148992,246.193206166994,5.6,3,240,420,170,1800,1640,33.05,5.3,4.9888
"169",134.304397640323,245.434849162241,5.8,3,330,370,150,2100,1430,36.63,8.4,4.9897652
"170",155.614659420718,245.125330504685,5.6,2.1,330,420,230,2100,1200,55.79,9.55,4.7767944
"171",175.6261532222,244.813467295539,5.8,3.4,450,640,200,2300,1530,56.43,13.2,4.9909821
"172",195.051563043636,244.757039043247,6,2.1,250,450,280,2300,960,22.22,8.25,4.4187622
"173",26.6016207966616,228.869526370369,5.1,3.4,120,230,100,500,2030,32.8,1.6,5.0002632
"174",46.4305659394642,227.424531415776,6.2,3.8,220,750,185,2800,1740,23.37,3.35,5.4353104
"175",65.6206406384089,226.584259180939,5.1,2.7,185,425,160,700,1860,32.75,3.65,5.0897179
"176",86.7190548939505,225.104525674888,6.2,3.2,200,760,265,2500,1650,71.33,7.6,5.1921082
"177",106.487176973335,224.857831002463,5.1,1.9,170,290,280,1500,1050,18.97,3.9,4.6634483
"178",125.037866785897,225.532452531377,5.8,3.2,400,355,190,2500,1410,37.54,10.1,4.8659172
"179",144.685489583645,224.229456090283,6.2,3.4,385.714285714286,430,280,3100,1500,21.57,11.7,4.7767944
"180",164.037777058423,224.001424314636,6.2,3.6,430,310,195,3200,1660,43.33,12.45,4.7767944
"181",183.68521564141,223.552497932769,5.9,4.9,250,475,180,2700,2020,48.08,8.75,4.8401527
"182",38.7472825278058,206.30667553291,5.8,3.6,160,600,170,2200,1700,52.79,3.7,5.2404785
"183",58.5716414957618,206.579372108875,6,2.8,230,710,180,2500,1860,54.91,5.45,4.8015099
"184",78.2893994111582,206.594121733143,5.3,2.8,240,510,230,2100,1840,135.58,5.45,5.1075935
"185",95.2830317275367,206.272256212978,5.8,2.8,280,375,235,2300,1170,19.28,6.7,4.7710457
"186",114.883154794229,205.873171379156,6.4,4.3,410,355,360,3400,1290,30.17,13.2,4.6799927
"187",134.022221410947,205.146039927421,6.1,3.1,365.102040816327,610,335,3100,1360,73.26,9.5,4.7767944
"188",154.226773877903,204.934421816051,6.3,1.8,210,390,300,2400,1020,15.81,9.5,4.7767944
"189",175.564209522599,204.529155441764,6.1,1.8,220,310,110,1600,1790,19.53,10.8,4.8172569
"190",194.599557462302,203.893320057639,5.7,1.2,190,215,135,1200,900,18.7,7.4,4.4640388
"191",25.8424451747564,185.006237586258,5.4,1.8,130,250,130,1000,1770,18.19,2.65,4.8840332
"192",46.1148161350103,184.085795850201,6,2.8,240,510,170,2300,1450,44.1,5.5,5.1553993
"193",66.6397949157717,184.895622620599,5.7,3.95,283.75,135,390,2300,790,27.7,8.55,4.5317154
"194",85.331111036804,184.070208556434,6.8,4.7,262.678571428571,490,270,3900,1170,35.61,14.3,4.9662132
"195",125.139384252023,184.678981233588,6.2,5.4,390,440,385,3400,1310,38.49,7.9,4.8478966
"196",144.821742407679,184.039164851829,6.3,2.1,240,175,190,2200,900,22.03,11.35,4.7767944
"197",164.998396050794,183.210470197451,6.7,2.7,350,285,200,3200,1300,53.61,15,4.7767944
"198",185.107412144692,182.956034320724,6.4,2.9,260,360,225,3500,1090,56.09,11.6,4.6964111
"199",36.1497973909531,163.41024594043,5.4,4.2,440,740,225,2300,1350,97.64,6.4,4.8841858
"200",56.915885280825,164.20726670436,6.2,4.5,360,750,320,3400,1200,60.14,9.45,4.5317154
"201",76.9609490647682,164.868921050716,6.5,6.4,240,570,520,4400,1120,77.47,9,4.7945671
"202",99.2217404922521,164.374068623556,6,7.1,305,500,315,3200,1280,32.2,9.1,4.6634483
"203",114.025265890703,165.311116887063,6.4,4.5,360,320,300,3000,970,36.63,14.7,4.6634483
"204",135.096359567561,163.904180233372,5.9,3,365,310,200,2600,1000,38.64,10.3,4.7972298
"205",155.141759205556,163.206471514127,6.4,1.8,140,210,360,3000,650,25.95,8,4.7767944
"206",174.96587301782,162.716525547633,6.7,2.5,270,360,340,3500,750,54.14,15.8,4.9157562
"207",194.36410333273,161.962389986029,7,1.4,70,345,620,4000,770,12.8,17.05,4.2971001
"208",23.833238138148,145.55995136822,5.7,3.2,310,570,330,2000,1240,17.43,7.9,4.5143509
"209",44.4595960237582,144.991508656736,6.4,4.11428571428571,325,515,370,4700,1260,65.15,6.75,4.8188896
"210",64.5046433522187,144.373773821711,7.3,5.28775510204082,257.857142857143,150,570,3100,630,31.2,10.15,4.5317154
"211",84.1723616521295,143.567342561862,6,4.58396501457726,275,570,340,3400,1270,102.21,17.65,4.9355125
"212",103.393920482273,144.194470062808,6.2,5.15485214493961,130,260,315,2200,720,10.41,7.5,4.6634483
"213",123.948520964397,145.339488095835,6,4.1,350,430,340,2800,1160,52.66,10.5,4.8383064
"214",144.081829873354,144.482523989944,6.4,2.6,300,210,260,3100,730,17.92,12,4.7767944
"215",164.73918665782,143.518194770781,7.2,2.3,250,200,330,4300,630,20.53,11.6,4.7959862
"216",184.35959782575,142.847938580019,6.9,2.5,270,305,240,3700,850,41.5,8,4.7230606
"217",33.1658190518229,126.923588850549,6.3,6.5,200,430,465,4000,1170,41.9,8.35,4.7652054
"218",54.1426001132591,127.447261938416,6.6,6.5,285,680,480,4200,1100,31.95,7.8,4.5317154
"219",74.1081754597142,126.021599952485,7.1,5.7,210,230,565,4600,930,27.85,9.25,4.6771317
"220",95.494662460879,125.125601883545,6.1,6.4,395,340,260,2800,1210,23.24,7.5,4.6634483
"221",114.622504585584,125.021265263521,6.7,5.5,320,310,355,3500,1030,31.48,11.65,4.6634483
"222",134.939508871453,124.415973829845,6.3,3.1,280,150,180,2800,720,21.98,10.7,4.7952156
"223",154.88922860257,123.163964995267,6.4,1.7,170,240,210,2100,480,23.07,-8.55,4.7767944
"224",175.377860088265,123.015613779336,6.6,1.8,215,260,180,2300,1460,25.84,12.5,5.000515
"225",195.294625671713,121.974366771703,6.1,2.18,115,240,230,1900,740,15.43,6.5,4.4876976
