X,Y,ID,tC_015,tC_1530,FFtC,tC,Sand,Silt,Clay,pH,K,P,Mg,Ca,Min,RM,SuM,SiM,BE,RO,WB,GB,YB,BW,BH,SH,AE,WA,BA,IW,MW,HE
582325.674638000,5031297.18752700,35,3.25445917627192,3.11532802088005,0.661893095837652,7.03168029298962,86.2200000000000,5.85000000000000,7.93000000000000,5.07000000000000,40,13.7100000000000,10.6000000000000,38,57.2322356740459,12,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
582276.782166000,5031265.68522600,36,3.05985015902845,1.87483864739503,0.291700534439986,5.22638934086347,87.8000000000000,4.57000000000000,7.64000000000000,5.12000000000000,24,12.4000000000000,11.5000000000000,63,46.0037875948493,5,1,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0
582484.440220000,5031427.02106100,41,3.76544748812234,1.60240331864583,0.0746366064842356,5.44248741325241,38.6400000000000,23.9300000000000,37.4300000000000,5.79000000000000,104,21.2300000000000,195,1200,149.364529316043,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
582434.912645000,5031407.81165100,42,3.68296397004040,1.81630846243746,0.241910938567495,5.74118337104535,89.2000000000000,2.92000000000000,7.89000000000000,5.18000000000000,30,83.6800000000000,30,165,65.7697491538456,2,8,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0
582395.829866000,5031376.35541900,43,4.45500345712740,1.59751641003097,1.26731384480250,7.31983371196088,87,5.52000000000000,7.48000000000000,4.90000000000000,54,12.8700000000000,59,460,100.136578822355,2,4,0,13,1,0,0,2,0,0,0,0,0,0,0,0,0
582346.689154000,5031356.66977900,44,2.03630586220829,2.33253153358351,1.22679866244319,5.59563605823500,88.9400000000000,3.47000000000000,7.58000000000000,4.94000000000000,16,4.04000000000000,18,56,23.6625710634049,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2
582302.727484000,5031338.49338300,45,3.36088853190365,2.04768063372891,2.47543786005521,7.88400702568777,85.9900000000000,5.94000000000000,8.06000000000000,4.89000000000000,17,2.71000000000000,6.30000000000000,11,26.9490840412392,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
582262.524730000,5031318.87896400,46,4.12893657920048,1.82474535805225,0.924514000748205,6.87819593800093,73.0500000000000,12.4400000000000,14.5100000000000,5.14000000000000,56,30.6900000000000,53,100,70.3343010959826,14,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
582461.023148000,5031474.15709900,51,3.94945528580492,2.23776073860094,0,6.18721602440586,44.3000000000000,29.0200000000000,26.6800000000000,6.14000000000000,65,44.5800000000000,292,1522,116.643230021372,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
582425.356735000,5031456.76894500,52,3.64917399660254,2.13447582049680,0,5.78364981709934,75.5100000000000,8.30000000000000,16.1900000000000,5.76000000000000,46,28.4900000000000,177,1560,97.2682686368480,0,13,0,0,2,0,0,0,6,2,0,0,6,0,0,0,0
582372.827639000,5031425.54618100,53,2.42949419509582,2.30557902023330,0.357906700297442,5.09297991562655,80.6300000000000,5.55000000000000,13.8200000000000,4.93000000000000,18,28.9600000000000,82,515,165.826334617405,0,22,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0
582321.304600000,5031406.22570100,54,3.58562610588410,2.68933687653363,1.24218056425380,7.51714354667152,86.7200000000000,4.57000000000000,8.71000000000000,4.83000000000000,18,41.4400000000000,11.6000000000000,45,43.0948559469168,4,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
582280.370621000,5031378.53292400,55,3.64626412058652,2.64325060481179,1.04010118321071,7.32961590860902,88.8300000000000,3.51000000000000,7.66000000000000,4.70000000000000,19,4.62000000000000,21,84,53.5272867749235,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
582231.356751000,5031359.40090100,56,2.41313282174593,1.67647179814087,0.397570715601062,4.48717533548786,86.1400000000000,6.03000000000000,7.83000000000000,4.91000000000000,20,8.66000000000000,12,18,53.7237174830475,3,0,0,14,9,0,0,0,1,0,0,0,0,0,0,0,0
582187.612727000,5031335.94824500,57,4.30048789324544,1.70402549276841,0.203060004441801,6.20757339045565,61.7900000000000,11.7500000000000,26.4600000000000,5.81000000000000,170,7.71000000000000,320,1410,128.800582084317,17,0,0,2,0,0,0,0,4,0,2,0,5,0,0,2,0
582140.268720000,5031324.18023200,58,6.48332428098479,1.27608742743324,0,7.75941170841803,47.7100000000000,15.1300000000000,37.1600000000000,5.49000000000000,298,27.3000000000000,760,2530,293.287219500339,6,0,0,4,0,0,0,0,10,0,6,0,3,0,0,5,0
582448.982163000,5031508.89386100,61,3.57272308583333,1.40500373471605,0,4.97772682054938,68.9600000000000,17.6600000000000,13.3800000000000,5.62000000000000,55,48.7500000000000,141,1170,116.876747701501,0,24,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0
582407.154863000,5031491.73981600,62,4.39769305202498,0.915394858896551,0,5.31308791092154,74.0700000000000,15.2000000000000,10.7300000000000,5.90000000000000,60,21.1700000000000,178,1370,155.047245246888,0,18,0,1,0,0,0,0,2,1,0,0,3,0,0,0,0
582360.193586000,5031470.40131500,63,3.31158772715481,1.44951931796590,0,4.76110704512071,45.9200000000000,24.7500000000000,29.3300000000000,6.04000000000000,84,20.6400000000000,90,355,103.466316565677,0,15,0,0,12,2,0,0,2,0,0,0,6,0,0,0,0
582305.209289000,5031445.45858100,64,5.18907974713096,3.98257460316598,0,9.17165435029694,54.7800000000000,16.7600000000000,28.4700000000000,5.80000000000000,90,20.1900000000000,288,1560,237.591206465423,0,4,0,6,2,0,0,0,13,0,0,0,2,0,0,0,0
582259.989908000,5031419.35129700,65,2.97409856025645,2.46858152839867,1.07534061626901,6.51802070492413,88.1200000000000,5,6.88000000000000,4.71000000000000,26,27.5100000000000,12.4000000000000,46,47.7805403299352,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
582215.387310000,5031402.89526700,66,4.34241763564159,2.35044496186483,1.33063102901747,8.02349362652388,85.7200000000000,7.20000000000000,7.08000000000000,4.87000000000000,23,3.59000000000000,11,61,31.9618465717141,6,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
582165.114890000,5031383.52628900,67,3.64035458316980,1.01227080727692,3.38621820925691,8.03884359970364,44.9700000000000,20.8500000000000,34.1900000000000,5.81000000000000,77,4.82000000000000,322,554,73.4203418127311,15,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
582117.502339000,5031364.50031400,68,4.23666513577976,0.842644221938087,0,5.07930935771784,9.82000000000000,28.3900000000000,61.7900000000000,5.49000000000000,191,19.7600000000000,300,1120,159.980987736132,12,0,1,0,0,0,0,0,0,0,11,0,3,0,0,4,0
582073.570374000,5031333.11640000,69,4.44920577238034,1.90865419140591,0,6.35785996378624,21.7400000000000,29.7000000000000,48.5600000000000,5.52000000000000,108,7.90000000000000,326,960,121.655334217243,2,0,1,0,2,0,0,0,4,4,5,0,0,0,2,2,0
582427.095088000,5031552.00229900,71,3.85692939173575,1.51097801642853,0,5.36790740816428,56.1200000000000,25.3100000000000,18.5700000000000,6.19000000000000,67,66.5500000000000,208,1680,119.815728154355,0,12,0,0,7,2,0,0,0,0,0,0,5,0,0,0,0
582385.658788000,5031533.41327300,72,3.77194224754822,2.23711467233534,0,6.00905691988356,36.8100000000000,31.1400000000000,32.0500000000000,6.76000000000000,88,22.2600000000000,570,2410,145.035538828701,0,17,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0
582337.602398000,5031512.01344400,73,3.59699887608886,1.81680430688272,0,5.41380318297158,56.8200000000000,23.3200000000000,19.8600000000000,5.33000000000000,84,25.2000000000000,245,980,168.982180419162,0,9,0,0,4,4,0,1,2,0,0,0,0,0,0,0,0
582288.913555000,5031484.64785700,74,4.24364409279819,1.35165597627386,0,5.59530006907205,65.4500000000000,11.9200000000000,22.6300000000000,5.90000000000000,154,22.5200000000000,495,1610,246.948460603967,2,1,0,1,4,1,0,0,16,0,0,0,6,0,0,0,0
